epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,24335.4,0.14368,0.06479,0.00225,0.94456,0.98361,0.98882,0.9036,0.46605,0.28638,0.00737,0.000181703,0.000181703,0.000181703
92,24579.5,0.13838,0.05885,0.00227,0.95271,0.97973,0.98962,0.90059,0.46547,0.28237,0.00733,0.0001652,0.0001652,0.0001652
93,24823.7,0.13257,0.06237,0.00213,0.93747,0.98837,0.98956,0.90109,0.46519,0.29455,0.00732,0.000148696,0.000148696,0.000148696
94,25068.3,0.12262,0.05622,0.00197,0.95862,0.97973,0.99211,0.9028,0.46468,0.31454,0.00735,0.000132193,0.000132193,0.000132193
95,25320.7,0.12735,0.05805,0.00206,0.95707,0.97586,0.99123,0.89635,0.46049,0.34321,0.00732,0.00011569,0.00011569,0.00011569
96,25825.9,0.12876,0.05713,0.00204,0.96788,0.9711,0.99161,0.90098,0.46178,0.3125,0.00731,9.91865e-05,9.91865e-05,9.91865e-05
97,26138.7,0.12314,0.05708,0.00197,0.96405,0.9845,0.99214,0.90558,0.45785,0.30594,0.00722,8.26832e-05,8.26832e-05,8.26832e-05
98,26412.3,0.11622,0.05488,0.00188,0.96582,0.97077,0.99163,0.90565,0.45812,0.30564,0.00723,6.61799e-05,6.61799e-05,6.61799e-05
99,26664.1,0.11497,0.05342,0.00182,0.96088,0.96545,0.99085,0.90583,0.46094,0.29759,0.00726,4.96766e-05,4.96766e-05,4.96766e-05
100,26909,0.11158,0.05337,0.00176,0.95144,0.9711,0.99073,0.90477,0.4595,0.29494,0.00722,3.31733e-05,3.31733e-05,3.31733e-05
